total_formulas_original,total_classes_original,single_formula_classes_original,multi_formula_classes_original,equivalence_class_time_original,containment_analysis_time_original,total_time_original,original_formula_count_original,optimized_formula_count_original,reduction_percentage_original,benchmark_name,method_original,total_formulas_enhanced,total_classes_enhanced,single_formula_classes_enhanced,multi_formula_classes_enhanced,equivalence_class_time_enhanced,containment_analysis_time_enhanced,total_time_enhanced,original_formula_count_enhanced,optimized_formula_count_enhanced,reduction_percentage_enhanced,preprocessing_time,formulas_simplified,simplification_reduction,subformula_extraction_time,total_subformulas,unique_subformulas,avg_subformulas_per_formula,lattice_construction_time,lattice_nodes,lattice_edges,lattice_levels,refinement_analysis_time,cross_formula_refinements,syntactic_refinements,subformula_coverage_reduction,syntactic_optimization_benefit,method_enhanced
6.0,1.0,0.0,1.0,0.004256248474121,0.0015897750854492,0.0060319900512695,6.0,3.0,50.0,lamport.3_000,original,6.0,1.0,0.0,1.0,0.0036789894104003,0.0015767097473144,0.0076632499694824,6.0,3.0,50.0,0.0005736351013183,6.0,37.95918367346939,0.0004346370697021,34.0,22.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0001900196075439,23.0,2.0,47.05882352941176,0.0,enhanced
521.0,1.0,0.0,1.0,4.106488943099976,11618.252643346786,11622.359471082687,521.0,271.0,47.98464491362764,elevator.4_000,original,521.0,1.0,0.0,1.0,7993.366579461097,3425.728534054756,11419.320493221285,521.0,271.0,47.98464491362764,0.1121225357055664,521.0,-17.610773148098822,0.033679723739624,4156.0,1850.0,20.78,0.0,0.0,0.0,0.0,0.0785763263702392,71903.0,71903.0,54.68164794007491,6.69700302644727,enhanced
5.0,1.0,0.0,1.0,0.0020914077758789,0.0007557868957519,0.0030272006988525,5.0,4.0,20.0,at.7_000,original,5.0,1.0,0.0,1.0,0.0016976356506347,0.0007275581359863,0.003796100616455,5.0,4.0,20.0,0.0005459785461425,5.0,27.516778523489933,0.0005152225494384,40.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0001828670501708,20.0,1.0,10.0,0.0,enhanced
6.0,1.0,0.0,1.0,0.0022730827331542,0.0009629726409912,0.0034065246582031,6.0,3.0,50.0,at.3_000,original,6.0,1.0,0.0,1.0,0.0019431352615356,0.0008327722549438,0.0040285587310791,6.0,3.0,50.0,0.0005102157592773,6.0,35.63636363636364,0.0004255771636962,37.0,24.0,6.166666666666667,0.0,0.0,0.0,0.0,0.0001893043518066,24.0,2.0,45.94594594594595,0.0,enhanced
4.0,1.0,0.0,1.0,0.0026934146881103,0.0007641315460205,0.0036263465881347,4.0,4.0,0.0,elevator.1_000,original,4.0,1.0,0.0,1.0,0.0022523880004882,0.0009653091430664,0.0049479007720947,4.0,4.0,0.0,0.000493049621582,4.0,16.52173913043478,0.0003774166107177,24.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0001850128173828,9.0,9.0,0.0,0.0,enhanced
6.0,1.0,0.0,1.0,0.0041041374206542,0.0015983581542968,0.0058546066284179,6.0,3.0,50.0,phils.3_000,original,6.0,1.0,0.0,1.0,0.0036978483200073,0.0015847921371459,0.0082225799560546,6.0,3.0,50.0,0.0007376670837402,6.0,20.266666666666666,0.0005309581756591,43.0,30.0,7.166666666666667,0.0,0.0,0.0,0.0,0.0002098083496093,24.0,24.0,44.18604651162791,0.0,enhanced
11.0,1.0,0.0,1.0,0.0139808654785156,0.0075857639312744,0.0217516422271728,11.0,5.0,54.54545454545454,elevator2.2_000,original,11.0,1.0,0.0,1.0,0.0139020204544067,0.0059580087661743,0.0231156349182128,11.0,5.0,54.54545454545454,0.0011076927185058,11.0,28.724544480171488,0.0009534358978271,104.0,48.0,9.454545454545457,0.0,0.0,0.0,0.0,0.0003058910369873,169.0,110.0,58.65384615384615,4.108391608391614,enhanced
9.0,1.0,0.0,1.0,0.0047199726104736,0.0037059783935546,0.0086052417755126,9.0,3.0,66.66666666666666,anderson.3_000,original,9.0,1.0,0.0,1.0,0.0053442478179931,0.002290391921997,0.009427785873413,9.0,3.0,66.66666666666666,0.0007452964782714,9.0,29.065040650406505,0.0006806850433349,70.0,43.0,7.777777777777778,0.0,0.0,0.0,0.0,0.0002427101135253,65.0,7.0,70.0,3.333333333333343,enhanced
6.0,1.0,0.0,1.0,0.0042457580566406,0.0016076564788818,0.0060346126556396,6.0,3.0,50.0,lamport_nonatomic.2_000,original,6.0,1.0,0.0,1.0,0.0036502838134765,0.0015644073486328,0.0076284408569335,6.0,3.0,50.0,0.0005948543548583,6.0,37.95918367346939,0.0004124641418457,34.0,22.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0002040863037109,23.0,2.0,47.05882352941176,0.0,enhanced
2.0,1.0,0.0,1.0,0.0013468265533447,0.0002875328063964,0.0018134117126464,2.0,2.0,0.0,leader_filters.1_000,original,2.0,1.0,0.0,1.0,0.0010994911193847,0.0004712104797363,0.0043044090270996,2.0,2.0,0.0,0.0005207061767578,2.0,17.322834645669293,0.000324010848999,13.0,10.0,6.5,0.0,0.0,0.0,0.0,0.0002140998840332,3.0,3.0,0.0,0.0,enhanced
