benchmark,baseline_time,optimized_time,optimization_time,total_optimized_time,equivalence_time,containment_time,baseline_props,optimized_props,original_count,optimized_count,reduction_percentage,mc_speedup,net_speedup,mc_improvement,net_improvement,overhead_ratio,time_saved_mc,time_saved_net,performance_category,size_category,baseline_avg_time,optimized_avg_time
protocols.3_000,0.0755882450612261,0.051100896904245,0.003279685974121,0.054380582878366,0.0024058818817138,0.000697374343872,6,4,6.0,4.0,33.33333333333333,1.4791960540901372,1.389985929909866,32.39570932907157,28.056825721621138,0.04338883607450432,0.024487348156981108,0.021207662182860104,Strong Benefit,Small,0.0125980408435376,0.0127752242260612
szymanski.3_000,17.25912367401179,15.055683687096462,0.0029506683349609,15.058634355431423,0.0020041465759277,0.0007596015930175,5,4,5.0,4.0,20.0,1.1463527019237123,1.1461280795218116,12.76681266403574,12.749716382725676,0.0001709628131006395,2.2034399869153276,2.2004893185803667,Strong Benefit,Small,3.451824734802358,3.7639209217741154
extinction.3_000,3.9273417940130457,3.9334403870161614,0.001239538192749,3.9346799252089104,0.0006773471832275,0.0003635883331298,2,2,2.0,2.0,0.0,0.998449552452035,0.9981350119106639,-0.15528551684532607,-0.1868472768795205,0.0003156176003419382,-0.00609859300311566,-0.007338131195864683,Marginal Loss,Tiny,1.9636708970065229,1.9667201935080807
iprotocol.1_000,0.2057634410448372,0.1472439779900014,0.01080322265625,0.1580472006462514,0.0064985752105712,0.0041055679321289,6,3,6.0,3.0,50.0,1.3974319619292652,1.3019113290426858,28.44016544323052,23.189853433773063,0.05250312009457456,0.058519463054835796,0.047716240398585796,Strong Benefit,Small,0.0342939068408062,0.0490813259966671
lann.3_000,4000.0,2000.0,0.0035607814788818,2000.0035607814789,0.0024607181549072,0.0009183883666992,4,2,4.0,2.0,50.0,2.0,1.9999964392248606,50.0,49.99991098046303,8.9019536972045e-07,2000.0,1999.9964392185211,Strong Benefit,Tiny,1000.0,1000.0
extinction.1_000,0.0236410590587183,0.0230239479569718,0.0007491111755371,0.0237730591325089,0.0004947185516357,7.915496826171875e-05,1,1,1.0,1.0,0.0,1.0268030097574832,0.9944474931452935,2.6103361114819568,-0.5583509328526468,0.03168687044334608,0.0006171111017465002,-0.0001320000737905988,Marginal Loss,Tiny,0.0236410590587183,0.0230239479569718
lamport.5_000,22.26590671390295,9.695080343983136,0.0058727264404296,9.700953070423566,0.0039653778076171,0.0017085075378417,6,3,6.0,3.0,50.0,2.296619102050185,2.295228783426201,56.45773393126867,56.43135851114368,0.00026375420124987044,12.570826369919814,12.564953643479384,Strong Benefit,Small,3.7109844523171582,3.231693447994379
bakery.1_000,0.1671956190839409,0.0869581209262833,0.0080945491790771,0.09505267010536039,0.0042040348052978,0.0037205219268798,9,3,9.0,3.0,66.66666666666666,1.9227142594959825,1.7589786683384507,47.99019172707761,43.148827328042,0.04841364399035608,0.0802374981576576,0.0721429489785805,Strong Benefit,Small,0.0185772910093267,0.0289860403087611
lann.2_000,4000.0,2000.0,0.0035521984100341,2000.00355219841,0.0024774074554443,0.0008981227874755,4,2,4.0,2.0,50.0,2.0,1.999996447807899,50.0,49.99991119503975,8.88049602508525e-07,2000.0,1999.99644780159,Strong Benefit,Tiny,1000.0,1000.0
phils.7_000,4185.802505868138,2107.261948505882,0.0064213275909423,2107.268369833473,0.0045185089111328,0.0017454624176025,6,3,6.0,3.0,50.0,1.9863702796114213,1.9863642266878996,49.65691894083199,49.6567655335085,1.53407323492691e-06,2078.5405573622556,2078.5341360346647,Strong Benefit,Small,697.6337509780229,702.4206495019607
