Benchmark,Num Properties,Total Elapsed Time (seconds),Average Elapsed Time (seconds),Timeouts
fischer.6_000,6,234.96808012307156,39.16134668717859,0
fischer.7_000,5,5000.0,1000.0,5
iprotocol.1_000,6,0.20576344104483724,0.03429390684080621,0
iprotocol.2_000,6,0.44869939784985036,0.07478323297497506,0
iprotocol.3_000,6,20.341095686890185,3.3901826144816973,0
iprotocol.4_000,6,71.75136365694925,11.958560609491542,0
iprotocol.5_000,6,785.6895081200637,130.94825135334395,0
iprotocol.6_000,6,1053.5221083799843,175.5870180633307,0
iprotocol.7_000,6,1613.3921424670843,268.8986904111807,0
lamport.1_000,6,0.36054958507884294,0.06009159751314049,0
lamport.2_000,6,1.3898280011489987,0.2316380001914998,0
lamport.3_000,6,0.43679351394530386,0.07279891899088398,0
lamport.5_000,6,22.26590671390295,3.7109844523171582,0
lamport.6_000,6,215.5581292702118,35.926354878368635,0
lamport.7_000,6,1163.6691755399806,193.94486258999677,0
lamport.8_000,6,1970.2914972708095,328.3819162118016,0
lamport_nonatomic.1_000,6,0.29536252724938095,0.049227087874896824,0
lamport_nonatomic.2_000,6,0.20969317783601582,0.0349488629726693,0
lamport_nonatomic.3_000,6,0.508528791135177,0.0847547985225295,0
lamport_nonatomic.4_000,6,29.418308209977113,4.9030513683295185,0
lamport_nonatomic.5_000,6,3940.83522757201,656.8058712620017,2
lann.1_000,4,4000.0,1000.0,4
lann.2_000,4,4000.0,1000.0,4
lann.3_000,4,4000.0,1000.0,4
lann.4_000,4,4000.0,1000.0,4
lann.5_000,4,4000.0,1000.0,4
lann.6_000,4,4000.0,1000.0,4
lann.7_000,4,4000.0,1000.0,4
leader-election.3_000,633,998.728168929927,1.9280466581658824,0
leader_filters.1_000,2,0.02917907398659736,0.01458953699329868,0
leader_filters.2_000,2,0.08418619586154819,0.04209309793077409,0
leader_filters.3_000,2,0.24759515502955765,0.12379757751477882,0
leader_filters.4_000,2,0.13899389107245952,0.06949694553622976,0
leader_filters.5_000,2,6.643486579996534,3.321743289998267,0
leader_filters.6_000,2,1449.4669152050046,724.7334576025023,0
leader_filters.7_000,2,142.49881991103757,71.24940995551879,0
mcs.1_000,6,0.13906862901058048,0.023178104835096747,0
mcs.2_000,6,0.0713164439657703,0.011886073994295051,0
mcs.3_000,6,11.908218843047507,1.9847031405079179,0
mcs.4_000,6,0.25751640007365495,0.04291940001227582,0
mcs.5_000,6,2188.7222984366817,364.78704973944696,0
mcs.6_000,6,6.321271837921813,1.0535453063203022,0
peterson.1_000,9,0.27062965487129986,0.030069961652366653,0
peterson.2_000,9,2.388876953860745,0.26543077265119386,0
peterson.3_000,9,3.4372492220718414,0.3819165802302046,0
peterson.4_000,9,32.59745865210425,3.621939850233806,0
peterson.5_000,9,6331.959580921917,703.5510645468797,4
peterson.6_000,8,6245.869202051777,780.7336502564722,3
peterson.7_000,8,5549.553517176071,693.6941896470089,3
phils.1_000,6,0.08619601314421743,0.014366002190702906,0
phils.2_000,6,0.0699873089324683,0.011664551488744715,0
phils.3_000,6,0.0663175069494173,0.011052917824902883,0
phils.4_000,6,9.812293221941218,1.6353822036568697,0
phils.5_000,6,14.89201407309156,2.48200234551526,0
phils.6_000,6,624.5398656721227,104.08997761202045,0
phils.7_000,6,4185.802505868138,697.6337509780229,1
phils.8_000,6,2176.529321759939,362.75488695998985,0
production-cell.3_000,452,2128.267294658348,5.645271338616308,0
protocols.1_000,6,0.0804258460411802,0.013404307673530033,0
protocols.2_000,6,0.13800067699048668,0.02300011283174778,0
protocols.3_000,6,0.07558824506122619,0.012598040843537698,0
protocols.4_000,6,4.5788197660585865,0.7631366276764311,0
protocols.5_000,6,11.461461262078956,1.910243543679826,0
public_subscribe.1_000,6,2000.0370772581082,333.33951287635136,2
public_subscribe.2_000,6,2020.5299336930038,336.75498894883395,2
public_subscribe.3_000,6,2021.0729723019758,336.84549538366264,2
public_subscribe.4_000,6,2021.3885451059323,336.8980908509887,2
public_subscribe.5_000,5,5000.0,1000.0,5
rether.1_000,10,0.14907665899954736,0.014907665899954736,0
rether.2_000,10,0.19527302973438054,0.019527302973438056,0
rether.3_000,10,4.585023583145812,0.4585023583145812,0
rether.4_000,10,23.69631195499096,2.369631195499096,0
rether.5_000,10,68.22377307305578,6.822377307305578,0
rether.6_000,10,144.66303450521082,14.466303450521082,0
rether.7_000,10,108.6873801141046,10.86873801141046,0
szymanski.1_000,5,0.2002488620346412,0.04004977240692824,0
szymanski.2_000,5,0.31382886006031185,0.06276577201206238,0
szymanski.3_000,5,17.25912367401179,3.451824734802358,0
szymanski.4_000,5,38.37411025818437,7.674822051636875,0
szymanski.5_000,5,1911.7977614091942,382.35955228183883,0
