Benchmark,Total_Formulas,Total_Classes,Single_Formula_Classes,Multi_Formula_Classes,Original_Count,Optimized_Count,Reduction_Percentage,Equivalence_Class_Time,Containment_Analysis_Time,Total_Time,Time_Per_Formula,Formulas_Reduced,Time_Per_Original_Formula,Efficiency_Score,Reduction_Category,Size_Category,Normalized_Time,Normalized_Reduction
at.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0024104118347167,0.0008831024169921,0.0034646987915039,0.0005774497985839834,3.0,0.0005774497985839834,86.58761354252698,High (50-75%),Small (5-10),0.0005774497985839834,50.0
at.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0024249553680419,0.0008742809295654,0.0034687519073486,0.0005781253178914333,3.0,0.0005781253178914333,86.48643893051151,High (50-75%),Small (5-10),0.0005781253178914333,50.0
at.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0022730827331542,0.0009629726409912,0.0034065246582031,0.0005677541097005166,3.0,0.0005677541097005166,88.06629339305776,High (50-75%),Small (5-10),0.0005677541097005166,50.0
at.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0023431777954101,0.0011007785797119,0.0036132335662841,0.0006022055943806833,3.0,0.0006022055943806833,83.02812273177352,High (50-75%),Small (5-10),0.0006022055943806833,50.0
at.5_000,12.0,1.0,0.0,1.0,12.0,1.0,91.66666666666666,0.0042686462402343,0.0033762454986572,0.0078198909759521,0.0006516575813293417,11.0,0.0006516575813293417,140.66692277203657,Very High (75%+),Medium (11-50),0.0006516575813293417,91.66666666666666
at.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0023055076599121,0.0011289119720458,0.0036191940307617,0.00060319900512695,3.0,0.00060319900512695,82.89138339920991,High (50-75%),Small (5-10),0.00060319900512695,50.0
at.7_000,5.0,1.0,0.0,1.0,5.0,4.0,20.0,0.0020914077758789,0.0007557868957519,0.0030272006988525,0.0006054401397705,1.0,0.0006054401397705,33.03381901236555,Low (0-25%),Small (5-10),0.0006054401397705,20.0
bakery.1_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0042040348052978,0.0037205219268798,0.0080945491790771,0.0008993943532307889,6.0,0.0008993943532307889,74.12395511177917,High (50-75%),Small (5-10),0.0008993943532307889,66.66666666666666
bakery.2_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0042052268981933,0.003779649734497,0.0081779956817626,0.0009086661868625111,6.0,0.0009086661868625111,73.3676102737538,High (50-75%),Small (5-10),0.0009086661868625111,66.66666666666666
bakery.3_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0046308040618896,0.0036520957946777,0.0084576606750488,0.0009397400750054222,6.0,0.0009397400750054222,70.94160230027649,High (50-75%),Small (5-10),0.0009397400750054222,66.66666666666666
