Benchmark,Total_Formulas,Total_Classes,Single_Formula_Classes,Multi_Formula_Classes,Original_Count,Optimized_Count,Reduction_Percentage,Equivalence_Class_Time,Containment_Analysis_Time,Total_Time,Time_Per_Formula,Time_Per_Formula_Safe,Problem_Score,Formula_Savings,Efficiency_Score,Class_Utilization
driving_phils.1_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0022380352020263,0.0007598400115966,0.0031824111938476,0.0007956027984619,0.0007956027984619,0.1818220634037469,2.0,62845.430026971444,100.0
driving_phils.2_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0021948814392089,0.0007753372192382,0.003141164779663,0.00078529119491575,0.00078529119491575,0.18182192366322958,2.0,63670.64895635848,100.0
driving_phils.3_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0012640953063964,0.0003943443298339,0.0018403530120849,0.00092017650604245,0.00092017650604245,0.40000552225267855,0.0,0.0,100.0
driving_phils.4_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0021424293518066,0.0007779598236083,0.0030906200408935,0.000772655010223375,0.000772655010223375,0.1818217524205147,2.0,64711.9339659041,100.0
driving_phils.5_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0012803077697753,0.0003759860992431,0.0018260478973388,0.0009130239486694,0.0009130239486694,0.400005425692088,0.0,0.0,100.0
elevator.1_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026934146881103,0.0007641315460205,0.0036263465881347,0.000906586647033675,0.000906586647033675,0.4000053855897593,0.0,0.0,100.0
elevator.2_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026519298553466,0.0007331371307373,0.0035631656646728,0.0008907914161682,0.0008907914161682,0.4000051715363657,0.0,0.0,100.0
elevator.3_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026123523712158,0.0007441043853759,0.0035262107849121,0.000881552696228025,0.000881552696228025,0.40000504633532413,0.0,0.0,100.0
elevator.4_000,521.0,1.0,0.0,1.0,521.0,271.0,47.98464491362764,4.106488943099976,11618.252643346786,11622.359471082687,22.307791691137595,22.307791691137595,0.7906124584031782,250.0,2.1510262233930986,100.0
elevator.4_001,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0028104782104492,0.0007839202880859,0.0038175582885742,0.00095438957214355,0.00095438957214355,0.40000603340418067,0.0,0.0,100.0
elevator.5_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.002709150314331,0.0007545948028564,0.0036461353302001,0.000911533832550025,0.000911533832550025,0.4000054526328977,0.0,0.0,100.0
elevator2.1_000,11.0,1.0,0.0,1.0,11.0,5.0,54.54545454545454,0.0143816471099853,0.0074975490570068,0.0220727920532226,0.002006617459383873,0.002006617459383873,0.16200412662680558,6.0,27182.786779002006,100.0
elevator2.2_000,11.0,1.0,0.0,1.0,11.0,5.0,54.54545454545454,0.0139808654785156,0.0075857639312744,0.0217516422271728,0.001977422020652073,0.001977422020652073,0.16200372570161467,6.0,27584.124165598034,100.0
elevator2.3_000,71.0,1.0,0.0,1.0,71.0,50.0,29.577464788732392,0.2071244716644287,1.4069502353668213,1.6143956184387207,0.02273796645688339,0.02273796645688339,0.2712752622375006,21.0,1300.7963946476182,100.0
elevator2.3_001,11.0,1.0,0.0,1.0,11.0,6.0,45.45454545454545,0.0132999420166015,0.0073609352111816,0.0208477973937988,0.0018952543085271637,0.0018952543085271637,0.20167201882008062,5.0,23983.348962741045,100.0
exit.3_000,306.0,1.0,0.0,1.0,306.0,219.0,28.431372549019606,2.1556296348571777,222.2598602771759,224.41583061218265,0.733385067360074,0.733385067360074,0.2915845680049002,87.0,38.76731858116836,100.0
extinction.1_000,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0004947185516357,7.915496826171875e-05,0.0007491111755371,0.0007491111755371,0.0007491111755371,0.4000031935089286,0.0,0.0,0.0
extinction.2_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0005443096160888,0.0003359317779541,0.0010232925415039,0.00051164627075195,0.00051164627075195,0.4000000070336199,0.0,0.0,100.0
extinction.3_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0006773471832275,0.0003635883331298,0.001239538192749,0.0006197690963745,0.0006197690963745,0.400001466707879,0.0,0.0,100.0
extinction.4_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0006868839263916,0.0003454685211181,0.0012116432189941,0.00060582160949705,0.00060582160949705,0.40000127841472766,0.0,0.0,100.0
fischer.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042195320129394,0.00156831741333,0.0059657096862792,0.0009942849477132,0.0009942849477132,0.1818248072288591,3.0,50287.39509231957,100.0
fischer.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040593147277832,0.0017640590667724,0.0060148239135742,0.0010024706522623666,0.0010024706522623666,0.1818249185822584,3.0,49876.771840811954,100.0
fischer.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040400028228759,0.0016713142395019,0.0058882236480712,0.0009813706080118666,0.0009813706080118666,0.18182463154995246,3.0,50949.15171883302,100.0
fischer.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0039429664611816,0.0015962123870849,0.0057337284088134,0.0009556214014689,0.0009556214014689,0.18182428127324013,3.0,52321.975965737314,100.0
fischer.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0041713714599609,0.0016849040985107,0.0060391426086425,0.0010065237681070834,0.0010065237681070834,0.18182497371840756,3.0,49675.925779708494,100.0
fischer.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040228366851806,0.0016469955444335,0.0058522224426269,0.0009753704071044834,0.0009753704071044834,0.18182454992682967,3.0,51262.57638719186,100.0
fischer.7_000,5.0,1.0,0.0,1.0,5.0,4.0,20.0,0.0034511089324951,0.0012428760528564,0.0048723220825195,0.0009744644165039,0.0009744644165039,0.3127336033439049,1.0,20524.094734781887,100.0
iprotocol.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0064985752105712,0.0041055679321289,0.01080322265625,0.001800537109375,0.001800537109375,0.1818357749981387,3.0,27769.491525423728,100.0
iprotocol.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0061326026916503,0.0041131973266601,0.0104248523712158,0.0017374753952026332,0.0017374753952026332,0.18183491714452377,3.0,28777.385934819955,100.0
iprotocol.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0061273574829101,0.0041244029998779,0.0104327201843261,0.0017387866973876834,0.0017387866973876834,0.18183493498268968,3.0,28755.68353215432,100.0
iprotocol.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.005688190460205,0.0043733119964599,0.0102550983428955,0.00170918305714925,0.00170918305714925,0.18183453227258062,3.0,29253.741891986167,100.0
iprotocol.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0056240558624267,0.0041754245758056,0.0099780559539794,0.0016630093256632334,0.0016630093256632334,0.18183390415292053,3.0,30065.97691811454,100.0
