Benchmark,Num Properties_baseline,Total Elapsed Time (seconds)_baseline,Average Elapsed Time (seconds)_baseline,Timeouts_baseline,Num Properties_optimized,Total Elapsed Time (seconds)_optimized,Average Elapsed Time (seconds)_optimized,Timeouts_optimized,Total_Time,Reduction_Percentage,Verification_Savings_Seconds,Verification_Savings_Percentage,Overhead_Percentage,Total_Optimized_Time,NEG
at.2_000,6,0.6359985929448158,0.1059997654908026,0,3,0.2892507249489426,0.0964169083163142,0,0.0034687519073486,50.0,0.34674786799587315,54.52022564866896,0.5454024499154161,0.2927194768562912,2.172723864415265
at.3_000,6,38.21729199716356,6.369548666193926,0,3,16.50460179883521,5.50153393294507,0,0.0034065246582031,50.0,21.712690198328346,56.8137852361173,0.008913568911308338,16.508008323493414,2.3150758860942977
at.4_000,6,168.78606463584583,28.131010772640973,0,3,74.88093412609305,24.960311375364352,0,0.0036132335662841,50.0,93.90513050975278,55.63559450974351,0.0021407179402396833,74.88454735965934,2.253950522331283
at.5_000,12,1196.9230519549455,149.6153814943682,0,1,98.1567863119999,98.1567863119999,0,0.0078198909759521,91.66666666666666,1098.7662656429457,91.7992400470791,0.0006533328072493716,98.16460620297585,12.193020460756058
at.6_000,6,4801.166620797943,800.1944367996572,3,3,2212.083979084972,737.3613263616571,1,0.0036191940307617,50.0,2589.0826417129715,53.92611517578767,7.538155445561684e-05,2212.0875982790026,2.170423370454785
at.7_000,5,5000.0,1000.0,5,4,4000.0,1000.0,4,0.0030272006988525,20.0,1000.0,20.0,6.054401397705e-05,4000.003027200699,1.2499990540004975
bakery.1_000,9,0.1671956190839409,0.0185772910093267,0,3,0.0869581209262833,0.0289860403087611,0,0.0080945491790771,66.66666666666666,0.0802374981576576,47.99019172707761,4.841364399035609,0.09505267010536039,1.7589786683384507
bakery.2_000,9,0.1077847577398642,0.0119760841933182,0,3,0.0315168879460543,0.0105056293153514,0,0.0081779956817626,66.66666666666666,0.07626786979380991,70.75942034204918,7.58733966958481,0.039694883627816896,2.715331243957398
bakery.3_000,9,0.5888863211730495,0.0654318134636721,0,3,0.1920435079373419,0.0640145026457806,0,0.0084576606750488,66.66666666666666,0.3968428132357076,67.38869608062976,1.4362127920039496,0.2005011686123907,2.9370717649605615
bakery.4_000,9,2.851997421006672,0.3168886023340747,0,3,0.9047589299734682,0.301586309991156,0,0.008657693862915,66.66666666666666,1.947238491033204,68.27630616671053,0.303565977975502,0.9134166238363832,3.122340174878993
bakery.5_000,9,244.0867608388653,27.120751204318367,0,3,75.93629658292048,25.31209886097349,0,0.0085375308990478,66.66666666666666,168.15046425594483,68.88962911304719,0.0034977443552064993,75.94483411381952,3.214000842678111
bakery.6_000,9,365.4395314739086,40.60439238598984,0,3,115.218174467911,38.406058155970335,0,0.0083601474761962,66.66666666666666,250.22135700599756,68.47134353439886,0.0022876965287465328,115.2265346153872,3.17148764990376
bakery.7_000,9,1031.391009878018,114.59900109755756,0,3,321.93022688897327,107.31007562965776,0,0.0083582401275634,66.66666666666666,709.4607829890447,68.78679144905018,0.0008103852028487164,321.93858512910083,3.203688708094493
bakery.8_000,9,8664.125060491031,962.6805622767812,5,3,2968.830403535976,989.610134511992,2,0.0090007781982421,66.66666666666666,5695.294656955055,65.73421571355156,0.0001038855987811883,2968.8394043141743,2.918354239000177
bopdp.1_000,8,4000.177867460996,500.0222334326245,4,8,4000.104042057996,500.0130052572495,4,0.0053048133850097,0.0,0.07382540299977336,0.001845553009037371,0.00013261443767691224,4000.109346871381,1.0000171296791345
