benchmark,formula_count,avg_length,avg_operator_count,avg_atomic_props,avg_nesting_depth,avg_temporal_ops,avg_automaton_states,avg_structural_complexity,avg_temporal_complexity,avg_automaton_complexity,avg_overall_complexity,max_overall_complexity,complexity_variance,total_time,time_per_formula,equivalence_class_time,containment_analysis_time
public_subscribe.3_000,6,125.5,7.833333333333333,3.3333333333333335,4.5,0.6666666666666666,2.1666666666666665,45.050000000000004,10.0,2.5833333333333335,18.29,35.42,124.44373333333334,0.0,0.0,0.0,0.0
public_subscribe.4_000,6,125.5,7.833333333333333,3.3333333333333335,4.5,0.6666666666666666,2.1666666666666665,45.050000000000004,10.0,2.5833333333333335,18.290000000000003,35.42,124.44373333333334,0.0,0.0,0.0,0.0
public_subscribe.5_000,5,133.4,8.4,3.4,4.6,0.8,2.2,47.339999999999996,12.0,2.6199999999999997,19.788,35.42,135.868456,0.0,0.0,0.0,0.0
rether.1_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.769999999999996,24.0,3.5300000000000002,21.39,41.64,283.92911999999995,0.0,0.0,0.0,0.0
rether.2_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.53,21.389999999999997,41.64,283.92912,0.0,0.0,0.0,0.0
rether.3_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.769999999999996,24.0,3.53,21.390000000000004,41.64,283.92912,0.0,0.0,0.0,0.0
rether.4_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.5300000000000002,21.39,41.64,283.92911999999995,0.0,0.0,0.0,0.0
rether.5_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.53,21.390000000000004,41.64,283.92911999999995,0.0,0.0,0.0,0.0
rether.6_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.77,24.0,3.53,21.39,41.64,283.92912,0.0,0.0,0.0,0.0
rether.7_000,10,89.7,5.7,2.2,4.4,1.4,2.9,35.769999999999996,24.0,3.5300000000000002,21.389999999999997,41.64,283.92912,0.0,0.0,0.0,0.0
szymanski.1_000,5,41.6,3.8,2.2,3.0,0.0,1.8,22.96,0.0,2.1,7.518000000000001,9.09,1.4006159999999992,0.0,0.0,0.0,0.0
szymanski.2_000,5,41.6,3.8,2.2,3.0,0.0,1.8,22.959999999999997,0.0,2.0999999999999996,7.518000000000001,9.09,1.400615999999999,0.0,0.0,0.0,0.0
szymanski.3_000,5,47.6,4.6,2.6,3.0,0.0,1.8,25.560000000000002,0.0,2.1,8.297999999999998,11.04,4.531535999999997,0.0,0.0,0.0,0.0
szymanski.4_000,5,47.6,4.6,2.6,3.0,0.0,1.8,25.560000000000002,0.0,2.1,8.297999999999998,11.04,4.531535999999997,0.0,0.0,0.0,0.0
szymanski.5_000,5,53.6,5.4,3.0,3.0,0.0,1.8,28.160000000000004,0.0,2.1,9.078,12.99,9.487655999999998,0.0,0.0,0.0,0.0
